ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
237373,variation,CNVS-18X28-CRYS-WLF,"Crystalline Wolf Totem Canvas - 18x28"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.7,28,18,1,0,,,280,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-wolf-totem-18x28-canvas.jpg,,,id:237372,,,,,,3,size,"18x28"" Stretched Canvas",,1,,,,,
237383,variation,CNVS-14X22-CRYS-WLF,"Crystalline Wolf Totem Canvas - 14x22"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.2,22,14,1,0,,,220,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/crystalline-wolf-totem-14x22-canvas.jpg,,,id:237372,,,,,,2,size,"14x22"" Stretched Canvas",,1,,,,,
237384,variable,,The Luminous Return Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nAn Apocalypse of Light / Transmuting the fabric of time / Superseding material reality /
\nResounding in infinite dimensional octaves",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-luminous-return-24x42-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-luminous-return-16x28-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-luminous-return.jpg",,,,,,,,,280,size,"11x17"" Paper Print, 16x28"" Stretched Canvas, 24x42"" Stretched Canvas, Choose An Option",0,1,"11x17"" Paper Print",,,,
237385,variation,CNVS-24X42-LMS-RTRN,"The Luminous Return Canvas - 24x42"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,3.3,42,24,1,0,,,400,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-luminous-return-24x42-canvas.jpg,,,id:237384,,,,,,3,size,"24x42"" Stretched Canvas",,1,,,,,
237386,variation,CNVS-16X28-LMS-RTRN,"The Luminous Return Canvas - 16x28"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.65,28,16,1,0,,,260,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/the-luminous-return-16x28-canvas.jpg,,,id:237384,,,,,,2,size,"16x28"" Stretched Canvas",,1,,,,,
237388,variable,,Sky Diamonds Canvas,1,0,visible,"&nbsp;
\n<p class=""p1""><b>CANVAS</b>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars</p>
\n<p class=""p1""><b>NOTE</b>
\n— Please allow 2 - 3 weeks for printing and shipping</p>
\n'By observing natural scientific discoveries through a perception deepened by meditation, we can develop a new awareness of reality. This awareness could become the bedrock of a spirituality that is not based on the dogmas of a given religion, but on insights into a higher and deeper meaning. I am referring to the ability to recognize, to read, and to understand the firsthand revelations.' ~ Albert Hofmann","[et_pb_section fb_built=""1"" _builder_version=""3.22"" custom_padding=""0px||||false|false"" global_colors_info=""{}""][et_pb_row _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||0px||false|false"" global_colors_info=""{}""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_breadcrumb _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_breadcrumb][et_pb_wc_cart_notice _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_cart_notice][/et_pb_column][/et_pb_row][et_pb_row column_structure=""1_2,1_2"" _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" custom_padding=""0px||||false|false"" global_colors_info=""{}""][et_pb_column type=""1_2"" _builder_version=""3.25"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_images _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_images][/et_pb_column][et_pb_column type=""1_2"" _builder_version=""3.25"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_title _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_title][et_pb_wc_rating _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_rating][et_pb_wc_price _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_price][et_pb_wc_description _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_description][et_pb_wc_add_to_cart _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_add_to_cart][et_pb_wc_meta _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_meta][/et_pb_column][/et_pb_row][et_pb_row _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" width=""100%"" global_colors_info=""{}""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][et_pb_wc_tabs _builder_version=""3.0.47"" global_colors_info=""{}""] [/et_pb_wc_tabs][et_pb_wc_upsells _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_upsells][et_pb_wc_related_products _builder_version=""3.0.47"" global_colors_info=""{}""][/et_pb_wc_related_products][/et_pb_column][/et_pb_row][/et_pb_section][et_pb_section fb_built=""1"" admin_label=""section"" _builder_version=""3.22"" global_colors_info=""{}""][et_pb_row admin_label=""row"" _builder_version=""3.25"" background_size=""initial"" background_position=""top_left"" background_repeat=""repeat"" global_colors_info=""{}""][et_pb_column type=""4_4"" _builder_version=""3.25"" custom_padding=""|||"" global_colors_info=""{}"" custom_padding__hover=""|||""][/et_pb_column][/et_pb_row][/et_pb_section]",,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/sky-diamonds-20x30-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/sky-diamonds-16x24-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/sky-diamonds.jpg",,,,,,,,,53,size,"11x17"" Paper Print, 16x24"" Stretched Canvas, 20x30"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237389,variation,CNVS-16X24-SKY-DIA,"Sky Diamonds Canvas - 16x24"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.5,24,16,1,0,,,240,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/sky-diamonds-16x24-canvas.jpg,,,id:237388,,,,,,2,size,"16x24"" Stretched Canvas",,1,,,,,
237390,variable,,Earth Prayer / पृथ्वी Canvas,1,0,visible,"&nbsp;
\n
\n<strong>CANVAS</strong>
\n— Printed on archival ph-neutral canvas using water-based inks to yield maximum colour saturation and longevity
\n— Stretched on 3/4 inch″ stretcher bars
\n
\n<strong>NOTE</strong>
\n— Please allow 2 - 3 weeks for printing and shipping
\n
\nPracticing the Prithvi Mudra, or 'Mudra of Earth' balances the elements of the body, helps to open and relax the mind. It promotes tolerance, patience and strength, while alleviating debility, depression and weakness.",,,,taxable,,1,,,0,0,0.25,17,11,0.5,0,,,,"Prints > Canvas, Prints",,,"https://www.mugwortdesigns.com/wp-content/uploads/2018/12/earth-prayer-20x36-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/earth-prayer-14x26-canvas.jpg, https://www.mugwortdesigns.com/wp-content/uploads/2018/12/earth-prayer.jpg",,,,,,,,,176,size,"11x17"" Paper Print, 14x26"" Stretched Canvas, 20x36"" Stretched Canvas, Choose An Option",0,1,Choose An Option,,,,
237397,variation,CNVS-20X36-ERTH-PRAY,"Earth Prayer / पृथ्वी Canvas - 20x36"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.4,36,20,1,0,,,333,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/earth-prayer-20x36-canvas.jpg,,,id:237390,,,,,,3,size,"20x36"" Stretched Canvas",,1,,,,,
237398,variation,CNVS-14X26-ERTH-PRAY,"Earth Prayer / पृथ्वी Canvas - 14x26"" Stretched Canvas",1,0,visible,,,,,taxable,parent,1,,,0,0,1.5,26,14,1,0,,,240,,,Canvas Shipping,https://www.mugwortdesigns.com/wp-content/uploads/2018/12/earth-prayer-14x26-canvas.jpg,,,id:237390,,,,,,2,size,"14x26"" Stretched Canvas",,1,,,,,
